Date,Open,High,Low,Close,Adj Close,Volume
2024-06-03,415.5299987792969,416.42999267578125,408.9200134277344,413.5199890136719,413.5199890136719,17484700
2024-06-04,412.42999267578125,416.44000244140625,409.67999267578125,416.07000732421875,416.07000732421875,14348900
2024-06-05,417.80999755859375,424.0799865722656,416.29998779296875,424.010009765625,424.010009765625,16988000
2024-06-06,424.010009765625,425.30999755859375,420.5799865722656,424.5199890136719,424.5199890136719,14861300
2024-06-07,426.20001220703125,426.2799987792969,423.0,423.8500061035156,423.8500061035156,13621700
2024-06-10,424.70001220703125,428.0799865722656,423.8900146484375,427.8699951171875,427.8699951171875,14003000
2024-06-11,425.4800109863281,432.82000732421875,425.25,432.67999267578125,432.67999267578125,14551100
2024-06-12,435.32000732421875,443.3999938964844,433.25,441.05999755859375,441.05999755859375,22366200
2024-06-13,440.8500061035156,443.3900146484375,439.3699951171875,441.5799865722656,441.5799865722656,15960600
2024-06-14,438.2799987792969,443.1400146484375,436.7200012207031,442.57000732421875,442.57000732421875,13582000
2024-06-17,442.5899963378906,450.94000244140625,440.7200012207031,448.3699951171875,448.3699951171875,20790000
2024-06-18,449.7099914550781,450.1400146484375,444.8900146484375,446.3399963378906,446.3399963378906,17112500
2024-06-20,446.29998779296875,446.5299987792969,441.2699890136719,445.70001220703125,445.70001220703125,19877400
2024-06-21,447.3800048828125,450.5799865722656,446.510009765625,449.7799987792969,449.7799987792969,34486200
2024-06-24,449.79998779296875,452.75,446.4100036621094,447.6700134277344,447.6700134277344,15913700
2024-06-25,448.25,451.4200134277344,446.75,450.95001220703125,450.95001220703125,16747500
2024-06-26,449.0,453.6000061035156,448.19000244140625,452.1600036621094,452.1600036621094,16507000
2024-06-27,452.17999267578125,456.1700134277344,451.7699890136719,452.8500061035156,452.8500061035156,14806300
2024-06-28,453.07000732421875,455.3800048828125,446.4100036621094,446.95001220703125,446.95001220703125,28362300
2024-07-01,448.6600036621094,457.3699951171875,445.6600036621094,456.7300109863281,456.7300109863281,17662800
2024-07-02,453.20001220703125,459.5899963378906,453.1099853515625,459.2799987792969,459.2799987792969,13979800
2024-07-03,458.19000244140625,461.0199890136719,457.8800048828125,460.7699890136719,460.7699890136719,9932800
2024-07-05,459.6099853515625,468.3500061035156,458.9700012207031,467.55999755859375,467.55999755859375,16000300
2024-07-08,466.54998779296875,467.70001220703125,464.4599914550781,466.239990234375,466.239990234375,12962300
2024-07-09,467.0,467.3299865722656,458.0,459.5400085449219,459.5400085449219,17207200
2024-07-10,461.2200012207031,466.4599914550781,458.8599853515625,466.25,466.25,18196100
2024-07-11,462.9800109863281,464.7799987792969,451.54998779296875,454.70001220703125,454.70001220703125,23111200
2024-07-12,454.3299865722656,456.3599853515625,450.6499938964844,453.54998779296875,453.54998779296875,16324300
2024-07-15,453.29998779296875,457.260009765625,451.42999267578125,453.9599914550781,453.9599914550781,14429400
2024-07-16,454.2200012207031,454.29998779296875,446.6600036621094,449.5199890136719,449.5199890136719,17175700
2024-07-17,442.5899963378906,444.8500061035156,439.17999267578125,443.5199890136719,443.5199890136719,21778000
2024-07-18,444.3399963378906,444.6499938964844,434.3999938964844,440.3699951171875,440.3699951171875,20794800
2024-07-19,433.1000061035156,441.1400146484375,432.0,437.1099853515625,437.1099853515625,20940400
2024-07-22,441.7900085449219,444.6000061035156,438.9100036621094,442.94000244140625,442.94000244140625,15808800
